"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"((F(G(p2))) R (!(p2))) | (G(F(p1)))","ltl2tgba","ok",0,0.0109951,5,10,24,1,5,3,1,0,"HOA: v1 name: ""(FGp2 R !p2) | GFp1"" States: 5 Start: 0 AP: 2 ""p2"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc stutter-invariant --BODY-- State: 0 [!0] 1 [!0] 2 [t] 3 State: 1 [t] 1 [0] 4 State: 2 [!0] 1 [!0] 2 {0} State: 3 [!1] 3 [1] 3 {0} State: 4 [0] 4 {0} --END--"
"((F(G(p2))) R (!(p2))) | (G(F(p1)))","ltl3tela","ok",0,0.00869044,3,9,14,2,3,1,1,1,"HOA: v1 States: 3 Start: 0 AP: 2 ""p2"" ""p1"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 [!0&!1] 0 [!0&1] 0 {1} [!0] 1 [0] 2 State: 1 [0&!1] 1 [!0&!1] 1 {0} [1] 1 {1} State: 2 [!1] 2 {0} [1] 2 {1} --END--"
"((F(G(p2))) R (!(p2))) | (G(F(p1)))","delag","ok",0,0.0288442,4,10,16,2,4,0,0,1,"HOA: v1 name: ""Automaton for ((G(F(p1))) | (((F(G(p2))) R (!p2))))"" States: 4 Start: 0 AP: 2 ""p2"" ""p1"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 1 [0] 2 State: 1 [0] 3 [!0] 1 State: 2 [!1] 2 {0} [1] 2 {0 1} State: 3 [!0&!1] 3 {0} [0&!1] 3 [!0&1] 3 {0 1} [0&1] 3 {1} --END--"
"((F(G(p2))) R (!(p2))) | (G(F(p1)))","rabinizer4","ok",0,0.0288743,4,10,16,4,4,0,0,1,"HOA: v1 name: ""Automaton for ((G(F(p1))) | (((F(G(p2))) R (!p2))))"" States: 4 Start: 0 AP: 2 ""p2"" ""p1"" acc-name: Rabin 2 Acceptance: 4 (Fin(0) & Inf(1)) | (Fin(2) & Inf(3)) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 1 [0] 2 State: 1 [0] 3 [!0] 1 {1} State: 2 [!1] 2 [1] 2 {1} State: 3 [0&1] 3 {1 3} [0&!1] 3 {3} [!0&1] 3 {1 2} [!0&!1] 3 {2} --END--"
"X((p3) & (X((p3) W (!(p0)))))","ltl2tgba_det","ok",0,0.010235,4,5,13,1,4,0,0,0,"HOA: v1 name: ""X(p3 & X(p3 W !p0))"" States: 4 Start: 3 AP: 2 ""p3"" ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 [0] 1 State: 1 {0} [0&1] 1 [!1] 2 State: 2 {0} [t] 2 State: 3 [t] 0 --END--"
"X((p3) & (X((p3) W (!(p0)))))","ltl3tela_det","ok",0,0.00606035,4,5,13,0,4,0,0,0,"HOA: v1 States: 4 Start: 0 AP: 2 ""p3"" ""p0"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 ""{0}"" [t] 1 State: 1 ""{1,2}"" [0] 2 State: 2 ""{3}"" [0&1] 2 [!1] 3 State: 3 ""{}"" [t] 3 --END--"
"X((p3) & (X((p3) W (!(p0)))))","ltl2tgba","ok",0,0.010309,4,5,13,1,4,0,0,0,"HOA: v1 name: ""X(p3 & X(p3 W !p0))"" States: 4 Start: 3 AP: 2 ""p3"" ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 [0] 1 State: 1 {0} [0&1] 1 [!1] 2 State: 2 {0} [t] 2 State: 3 [t] 0 --END--"
"X((p3) & (X((p3) W (!(p0)))))","ltl3tela","ok",0,0.00666399,4,5,13,0,4,0,0,0,"HOA: v1 States: 4 Start: 0 AP: 2 ""p3"" ""p0"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 ""{0}"" [t] 1 State: 1 ""{1,2}"" [0] 2 State: 2 ""{3}"" [0&1] 2 [!1] 3 State: 3 ""{}"" [t] 3 --END--"
"X((p3) & (X((p3) W (!(p0)))))","delag","ok",0,0.0273556,4,5,13,0,4,0,0,0,"HOA: v1 name: ""Automaton for X(((p3) & (X(((p3) W (!p0))))))"" States: 4 Start: 0 AP: 2 ""p3"" ""p0"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [0&1] 2 [!1] 3 State: 3 [t] 3 --END--"
"X((p3) & (X((p3) W (!(p0)))))","rabinizer4","ok",0,0.0277836,4,5,13,1,4,0,0,0,"HOA: v1 name: ""Automaton for X(((p3) & (X(((p3) W (!p0))))))"" States: 4 Start: 0 AP: 2 ""p3"" ""p0"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [0&1] 2 [!1] 3 State: 3 [t] 3 --END--"
"F(p3)","ltl2tgba_det","ok",0,0.00988299,2,3,4,1,2,0,0,1,"HOA: v1 name: ""Fp3"" States: 2 Start: 1 AP: 1 ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 --END--"
"F(p3)","ltl3tela_det","ok",0,0.00495849,2,3,4,1,2,0,0,1,"HOA: v1 States: 2 Start: 1 AP: 1 ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 --END--"
"F(p3)","ltl2tgba","ok",0,0.00966935,2,3,4,1,2,0,0,1,"HOA: v1 name: ""Fp3"" States: 2 Start: 1 AP: 1 ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 --END--"
"F(p3)","ltl3tela","ok",0,0.00508734,2,3,4,1,2,0,0,1,"HOA: v1 States: 2 Start: 1 AP: 1 ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 --END--"
"F(p3)","delag","ok",0,0.0258606,2,3,4,1,2,0,0,1,"HOA: v1 name: ""Automaton for F(p3)"" States: 2 Start: 0 AP: 1 ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic --BODY-- State: 0 [!0] 0 [0] 1 State: 1 {0} [t] 1 --END--"
"F(p3)","rabinizer4","ok",0,0.0260251,2,3,4,2,2,0,0,1,"HOA: v1 name: ""Automaton for F(p3)"" States: 2 Start: 0 AP: 1 ""p3"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels state-acc complete deterministic --BODY-- State: 0 [!0] 0 [0] 1 State: 1 {1} [t] 1 --END--"
