"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"X(X(F((((X(p0)) & ((!(p2)) R (F(!(p0))))) | (((p2) U (G(p0))) & (X(!(p0))))) R (!(p0)))))","ltl2tgba_det","ok",0,0.0173716,13,37,52,1,9,0,0,1,"HOA: v1 name: ""XXF(((Xp0 & (!p2 R F!p0)) | ((p2 U Gp0) & X!p0)) R !p0)"" States: 13 Start: 0 AP: 2 ""p0"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [t] 1 State: 1 [t] 2 State: 2 [0] 2 [!0&!1] 3 [!0&1] 4 State: 3 [!0&!1] 3 {0} [!0&1] 4 {0} [0] 5 State: 4 [!0&!1] 3 {0} [!0&1] 6 {0} [0&!1] 7 [0&1] 8 State: 5 [t] 5 {0} State: 6 [!0&!1] 3 {0} [!0&1] 6 {0} [0&!1] 9 [0&1] 10 State: 7 [!0] 5 [0] 7 State: 8 [!0&!1] 5 [0&!1] 7 [0&1] 8 [!0&1] 11 {0} State: 9 [!0] 5 [0] 9 {0} State: 10 [!0&!1] 5 [0&!1] 9 [0&1] 10 {0} [!0&1] 12 {0} State: 11 [!0&!1] 5 [0&!1] 7 [0&1] 8 [!0&1] 12 State: 12 [!0&!1] 5 [0&!1] 9 [0&1] 10 [!0&1] 12 {0} --END--"
"(X((p0) | (X(p1)))) | ((X(p2)) M ((p0) M (p3)))","ltl2tgba_det","ok",0,0.0126979,11,29,140,1,10,0,0,0,"HOA: v1 name: ""X(p0 | Xp1) | (Xp2 M (p0 M p3))"" States: 11 Start: 1 AP: 4 ""p3"" ""p0"" ""p2"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 [3] 9 State: 1 [0&!1] 2 [0&1] 3 [!0] 10 State: 2 [!0&!1] 0 [0&!1&!2] 4 [0&!1&2] 5 [1] 9 State: 3 [!0&!1&!2] 0 [0&!1&!2] 4 [1 | 2] 9 State: 4 [0&!1&!2&!3] 6 [0&!1&2&!3] 7 [0&1&!2&!3] 8 [0&1&2 | 3] 9 State: 5 [0&!1&!3] 7 [0&1 | 3] 9 State: 6 [0&!1&!2] 6 [0&!1&2] 7 [0&1&!2] 8 [0&1&2] 9 State: 7 [0&!1] 7 [0&1] 9 State: 8 [0&!1&!2] 6 [0&1&!2] 8 [2] 9 State: 9 {0} [t] 9 State: 10 [!1] 0 [1] 9 --END--"
"X((!(p3)) <-> (F(((F(p2)) & (G(p3))) | ((G(!(p2))) & (F(!(p3)))))))","ltl2tgba_det","ok",0,0.0164203,9,28,36,2,4,0,0,1,"HOA: v1 name: ""X(!p3 <-> F((Fp2 & Gp3) | (G!p2 & F!p3)))"" States: 9 Start: 8 AP: 2 ""p3"" ""p2"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1] 1 [!0&1] 2 [0&!1] 3 [0&1] 4 State: 1 [!1] 1 {1} [!0&1] 2 {0} [0&1] 5 {0} State: 2 [!0&!1] 1 [!0&1 | 0&!1] 2 [0&1] 5 State: 3 [0&!1] 3 {1} [0&1] 4 [!0&!1] 6 [!0&1] 7 {1} State: 4 [0] 4 [!0&!1] 6 [!0&1] 7 {1} State: 5 [!0&!1] 1 {0} [!0&1] 2 {0} [0] 5 {1} State: 6 [0&1] 4 {1} [!1] 6 [!0&1] 7 {1} State: 7 [0&!1] 3 [0&1] 4 [!0&!1] 6 [!0&1] 7 {1} State: 8 [t] 0 --END--"
"X(X((F(p2)) & ((p3) xor ((p2) <-> (X(F(p3)))))))","ltl2tgba_det","ok",0,0.0121113,9,18,32,1,9,0,0,0,"HOA: v1 name: ""XX(Fp2 & (p3 xor (p2 <-> XFp3)))"" States: 9 Start: 7 AP: 2 ""p2"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [!1] 1 State: 2 [0&1] 1 [0&!1] 3 [!0&!1] 4 [!0&1] 5 State: 3 [1] 0 [!1] 3 State: 4 [0&!1] 1 [!0&!1] 4 State: 5 [0&1] 0 [0&!1] 3 [!0&!1] 5 [!0&1] 6 State: 6 [0] 0 [!0] 6 State: 7 [t] 8 State: 8 [t] 2 --END--"
"((p3) | ((!(p1)) U (!(p0)))) W ((!(p2)) R (p1))","ltl2tgba_det","ok",0,0.0142469,4,10,52,1,3,0,0,0,"HOA: v1 name: ""(p3 | (!p1 U !p0)) W (!p2 R p1)"" States: 4 Start: 0 AP: 4 ""p3"" ""p1"" ""p0"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic stutter-invariant --BODY-- State: 0 [0&!1 | 0&3 | !1&!2 | !2&3] 0 {0} [1&!3] 1 [!0&1&2&3] 2 [!0&!1&2] 3 State: 1 [t] 1 {0} State: 2 [1&!3] 1 [1&3] 2 {0} State: 3 [!1&!2 | !2&3] 0 {0} [1&!2&!3] 1 [!1&2] 3 --END--"
"p1","ltl2tgba_det","ok",0,0.0112497,2,2,3,1,2,0,0,0,"HOA: v1 name: ""p1"" States: 2 Start: 1 AP: 1 ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 --END--"
"((p1) & (p2)) | (F(!(p3)))","ltl2tgba_det","ok",0,0.0116109,3,5,24,1,3,0,0,1,"HOA: v1 name: ""(p1 & p2) | F!p3"" States: 3 Start: 2 AP: 3 ""p1"" ""p2"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!2] 0 [2] 1 State: 2 [0&1 | !2] 0 [!0&2 | !1&2] 1 --END--"
"(p0) | (G((F(G(p0))) U (((p2) | (G(p3))) R (p3))))","ltl2tgba_det","ok",0,0.0129961,8,25,64,3,5,0,0,1,"HOA: v1 name: ""p0 | G(FGp0 U ((p2 | Gp3) R p3))"" States: 8 Start: 0 AP: 3 ""p0"" ""p3"" ""p2"" acc-name: parity min odd 3 Acceptance: 3 Fin(0) & (Inf(1) | Fin(2)) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&!1] 1 [!0&1&!2] 2 [!0&1&2] 3 [0] 4 State: 1 [!0 | !1] 1 {2} [0&1&!2] 5 [0&1&2] 6 State: 2 [!1] 1 [!0&1 | 1&!2] 2 [0&1&2] 7 State: 3 [!1] 1 [1&!2] 2 [1&2] 3 State: 4 [t] 4 State: 5 [!0 | !1] 1 {0} [0&1&!2] 5 [0&1&2] 6 State: 6 [!0] 1 {0} [0&1&!2] 6 [0&1&2] 6 {1} [0&!1] 6 {2} State: 7 [!0&!1] 1 [!0&1] 2 [0&!1] 6 [0&1] 7 --END--"
"(F(G(p2))) | (F(!(p1)))","ltl2tgba_det","ok",0,0.00894554,2,4,8,1,2,0,0,1,"HOA: v1 name: ""FGp2 | F!p1"" States: 2 Start: 0 AP: 2 ""p1"" ""p2"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&1] 0 [0&!1] 0 {0} [!0] 1 State: 1 [t] 1 --END--"
"G(p1)","ltl2tgba_det","ok",0,0.00826354,1,1,1,1,1,0,0,0,"HOA: v1 name: ""Gp1"" States: 1 Start: 0 AP: 1 ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [0] 0 --END--"
"F(p1)","ltl2tgba_det","ok",0,0.00788075,2,3,4,1,2,0,0,1,"HOA: v1 name: ""Fp1"" States: 2 Start: 1 AP: 1 ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 --END--"
"(p0) <-> ((p2) xor ((p2) | ((!(p2)) M (F(!(p1))))))","ltl2tgba_det","ok",0,0.00853547,4,7,25,1,4,0,0,0,"HOA: v1 name: ""p0 <-> (p2 xor (p2 | (!p2 M F!p1)))"" States: 4 Start: 3 AP: 3 ""p0"" ""p2"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [2] 1 State: 2 [!2] 0 [2] 2 State: 3 [!0&1 | 0&!1&!2] 0 [!0&!1&2] 1 [0&!1&2] 2 --END--"
"(p1) | ((p1) U (X((p0) U (!(p1)))))","ltl2tgba_det","ok",0,0.00840408,3,5,11,1,3,0,0,0,"HOA: v1 name: ""p1 | (p1 U X(p0 U !p1))"" States: 3 Start: 1 AP: 2 ""p1"" ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 2 State: 2 [!0] 0 [0&1] 2 --END--"
"(X(p3)) R (((p2) & (X(F(p1)))) | ((!(p2)) & (X(G(!(p1))))))","ltl2tgba_det","ok",0,0.0102431,6,13,38,1,6,0,0,0,"HOA: v1 name: ""Xp3 R ((p2 & XFp1) | (!p2 & XG!p1))"" States: 6 Start: 0 AP: 3 ""p2"" ""p3"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [!0] 1 [0] 2 State: 1 [!0&!1&!2] 1 {0} [1&!2] 3 State: 2 [!0&!1&2] 1 [0&!1&!2] 2 [0&!1&2] 2 {0} [1&2] 4 [1&!2] 5 State: 3 [!2] 3 {0} State: 4 [t] 4 {0} State: 5 [2] 4 [!2] 5 --END--"
"G(((!(p0)) & (p1)) | ((p0) & (!(p1))))","ltl2tgba_det","ok",0,0.00832387,1,1,2,1,1,0,0,0,"HOA: v1 name: ""G((!p0 & p1) | (p0 & !p1))"" States: 1 Start: 0 AP: 2 ""p0"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [!0&1 | 0&!1] 0 --END--"
