"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"X(X((F(p2)) & ((p3) xor ((p2) <-> (X(F(p3)))))))","ltl3tela_det","ok",0,0.0118863,9,18,32,1,9,0,0,0,"HOA: v1 States: 9 Start: 7 AP: 2 ""p2"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [!1] 1 State: 2 [0&1] 1 [!0&!1] 3 [0&!1] 4 [!0&1] 5 State: 3 [0&!1] 1 [!0&!1] 3 State: 4 [1] 0 [!1] 4 State: 5 [0&1] 0 [0&!1] 4 [!0&!1] 5 [!0&1] 6 State: 6 [0] 0 [!0] 6 State: 7 [t] 8 State: 8 [t] 2 --END--"
"((p3) | ((!(p1)) U (!(p0)))) W ((!(p2)) R (p1))","ltl3tela_det","ok",0,0.0103887,4,10,52,1,3,0,0,0,"HOA: v1 States: 4 Start: 0 AP: 4 ""p2"" ""p1"" ""p3"" ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&2 | 0&!3 | !1&2 | !1&!3] 0 {0} [!0&1] 1 [!1&!2&3] 2 [0&1&!2&3] 3 State: 1 [t] 1 {0} State: 2 [0&!3 | !1&!3] 0 {0} [!0&1&!3] 1 [!1&3] 2 State: 3 [!0&1] 1 [0&1] 3 {0} --END--"
"p1","ltl3tela_det","ok",0,0.00446411,2,2,3,0,2,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 1 ""p1"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 ""{0}"" [0] 1 State: 1 ""{}"" [t] 1 --END--"
"((p1) & (p2)) | (F(!(p3)))","ltl3tela_det","ok",0,0.00541564,3,5,24,1,3,0,0,1,"HOA: v1 States: 3 Start: 2 AP: 3 ""p1"" ""p2"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!2] 0 [2] 1 State: 2 [0&1 | !2] 0 [!0&2 | !1&2] 1 --END--"
"(p0) | (G((F(G(p0))) U (((p2) | (G(p3))) R (p3))))","ltl3tela_det","ok",0,0.0198759,5,15,40,3,4,0,0,1,"HOA: v1 States: 5 Start: 0 AP: 3 ""p0"" ""p2"" ""p3"" acc-name: parity min odd 3 Acceptance: 3 Fin(0) & (Inf(1) | Fin(2)) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&!2] 1 [!0&2] 2 [0] 4 State: 1 [0&!1&2] 1 [!0&!1 | !0&!2] 1 {0} [0&!2] 1 {2} [!0&1&2] 3 {0} [0&1&2] 3 {1} State: 2 [!2] 1 [2] 2 State: 3 [0&!2] 1 [!0&!2] 1 {0} [0&2] 3 [!0&2] 3 {0} State: 4 [t] 4 --END--"
"(F(G(p2))) | (F(!(p1)))","ltl3tela_det","ok",0,0.00619582,2,4,8,1,2,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""p1"" ""p2"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0&1] 0 [0&!1] 0 {0} [!0] 1 State: 1 [t] 1 --END--"
"G(p1)","ltl3tela_det","ok",0,0.00449609,1,1,1,0,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""p1"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 [0] 0 --END--"
"F(p1)","ltl3tela_det","ok",0,0.00462657,2,3,4,1,2,0,0,1,"HOA: v1 States: 2 Start: 1 AP: 1 ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 --END--"
"(p0) <-> ((p2) xor ((p2) | ((!(p2)) M (F(!(p1))))))","ltl3tela_det","ok",0,0.00875872,4,7,25,1,4,0,0,0,"HOA: v1 States: 4 Start: 3 AP: 3 ""p0"" ""p2"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [2] 1 State: 2 [!2] 0 [2] 2 State: 3 [!0&1 | 0&!1&!2] 0 [!0&!1&2] 1 [0&!1&2] 2 --END--"
"(p1) | ((p1) U (X((p0) U (!(p1)))))","ltl3tela_det","ok",0,0.00603805,3,5,11,1,3,0,0,0,"HOA: v1 States: 3 Start: 1 AP: 2 ""p1"" ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 2 State: 2 [!0] 0 [0&1] 2 --END--"
